pop,den,geometry,area
4,0.64,"POLYGON((21.0965837761176 55.5363648240176, 21.1005390958339 55.5364585565334, 21.1003739136198 55.5387016360777, 21.0964183693406 55.5386078957424, 21.0965837761176 55.5363648240176))",62500.0
19,3.04,"POLYGON((21.0964183693406 55.5386078957424, 21.1003739136198 55.5387016360777, 21.100208708161 55.540944714468, 21.0962529392875 55.5408509663124, 21.0964183693406 55.5386078957424))",62500.0
14,2.24,"POLYGON((21.0794238117917 55.7673951385558, 21.0834024278629 55.7674896811662, 21.0832348277606 55.769732641651, 21.0792559838532 55.7696380911288, 21.0794238117917 55.7673951385558))",62500.0
10,1.6,"POLYGON((21.0789202567418 55.7741239927981, 21.0828995564175 55.7742185591465, 21.0827318851676 55.7764615161572, 21.0787523575595 55.7763669418943, 21.0789202567418 55.7741239927981))",62500.0
37,5.919999976875002,"POLYGON((21.0787523575595 55.7763669418943, 21.0827318851676 55.7764615161572, 21.0825641901927 55.7787044720097, 21.0785844346201 55.7786098898315, 21.0787523575595 55.7763669418943))",62500.0002441406
3,0.48,"POLYGON((21.0716790822797 55.8705697568422, 21.0756682121239 55.8706646643329, 21.0754995165339 55.8729075715083, 21.0715101573707 55.872812656064, 21.0716790822797 55.8705697568422))",62500.0
4,0.64,"POLYGON((21.0713412085056 55.875055554125, 21.0753307970201 55.8751504775238, 21.075162053578 55.8773933823794, 21.0711722356798 55.8772984510252, 21.0713412085056 55.875055554125))",62500.0
6,0.96,"POLYGON((21.0710032388886 55.8795413467646, 21.0749932862029 55.8796362860751, 21.0748244948901 55.8818791886109, 21.0708342181274 55.8817842413431, 21.0710032388886 55.8795413467646))",62500.0
3,0.48,"POLYGON((21.0704961046761 55.8862700270172, 21.0744868404331 55.8863649902022, 21.0743179772794 55.8886078892578, 21.0703270119767 55.8885129181128, 21.0704961046761 55.8862700270172))",62500.0
7,1.12,"POLYGON((21.0698195899278 55.895241584433, 21.0738112440623 55.8953365794634, 21.0736422850557 55.8975794738782, 21.0696504012457 55.8974844708841, 21.0698195899278 55.895241584433))",62500.0
3,0.48,"POLYGON((21.0689734063971 55.9064560050758, 21.0729662092335 55.9065510399336, 21.0727971303058 55.9087939285464, 21.0688040976315 55.9086988857204, 21.0689734063971 55.9064560050758))",62500.0
46,7.36,"POLYGON((21.0688040976315 55.9086988857204, 21.0727971303058 55.9087939285464, 21.0726280273798 55.9110368159987, 21.0686347648353 55.9109417652035, 21.0688040976315 55.9086988857204))",62500.0
142,22.72,"POLYGON((21.0686347648353 55.9109417652035, 21.0726280273798 55.9110368159987, 21.072458900451 55.9132797022904, 21.0684654080037 55.9131846435252, 21.0686347648353 55.9109417652035))",62500.0
81,12.96,"POLYGON((21.0684654080037 55.9131846435252, 21.072458900451 55.9132797022904, 21.0722897495146 55.9155225874216, 21.068296027132 55.9154275206853, 21.0684654080037 55.9131846435252))",62500.0
132,21.12,"POLYGON((21.068296027132 55.9154275206853, 21.0722897495146 55.9155225874216, 21.072120574566 55.9177654713921, 21.0681266222157 55.917670396684, 21.068296027132 55.9154275206853))",62500.0
320,51.2,"POLYGON((21.0681266222157 55.917670396684, 21.072120574566 55.9177654713921, 21.0719513756005 55.920008354202, 21.0679571932499 55.919913271521, 21.0681266222157 55.917670396684))",62500.0
194,31.04,"POLYGON((21.0679571932499 55.919913271521, 21.0719513756005 55.920008354202, 21.0717821526134 55.9222512358511, 21.0677877402301 55.9221561451964, 21.0679571932499 55.919913271521))",62500.0
185,29.6,"POLYGON((21.0677877402301 55.9221561451964, 21.0717821526134 55.9222512358511, 21.0716129056001 55.9244941163395, 21.0676182631514 55.9243990177101, 21.0677877402301 55.9221561451964))",62500.0
152,24.32,"POLYGON((21.0676182631514 55.9243990177101, 21.0716129056001 55.9244941163395, 21.0714436345559 55.926736995667, 21.0674487620094 55.9266418890622, 21.0676182631514 55.9243990177101))",62500.0
54,8.64,"POLYGON((21.0674487620094 55.9266418890622, 21.0714436345559 55.926736995667, 21.0712743394761 55.9289798738338, 21.0672792367992 55.9288847592524, 21.0674487620094 55.9266418890622))",62500.0
43,6.88,"POLYGON((21.0672792367992 55.9288847592524, 21.0712743394761 55.9289798738338, 21.0711050203561 55.9312227508397, 21.0671096875163 55.9311276282809, 21.0672792367992 55.9288847592524))",62500.0
39,6.24,"POLYGON((21.0671096875163 55.9311276282809, 21.0711050203561 55.9312227508397, 21.0709356771911 55.9334656266846, 21.0669401141558 55.9333704961475, 21.0671096875163 55.9311276282809))",62500.0
15,2.4,"POLYGON((21.0669401141558 55.9333704961475, 21.0709356771911 55.9334656266846, 21.0707663099765 55.9357085013686, 21.0667705167132 55.9356133628522, 21.0669401141558 55.9333704961475))",62500.0
39,6.24,"POLYGON((21.0667705167132 55.9356133628522, 21.0707663099765 55.9357085013686, 21.0705969187076 55.9379513748915, 21.0666008951838 55.9378562283951, 21.0667705167132 55.9356133628522))",62500.0
29,4.64,"POLYGON((21.0666008951838 55.9378562283951, 21.0705969187076 55.9379513748915, 21.0704275033797 55.9401942472535, 21.0664312495627 55.9400990927759, 21.0666008951838 55.9378562283951))",62500.0
8,1.28,"POLYGON((21.0657524260694 55.9490705386789, 21.0697496013846 55.9491657250899, 21.0695800656915 55.951408591646, 21.0655826599202 55.9513133972493, 21.0657524260694 55.9490705386789))",62500.0
13,2.08,"POLYGON((21.0860808085148 55.7316021559563, 21.0900558072025 55.7316964436079, 21.0898888131843 55.7339394305016, 21.0859135871688 55.7338451349634, 21.0860808085148 55.7316021559563))",62500.0
51,8.160000031874997,"POLYGON((21.0859135871688 55.7338451349634, 21.0898888131843 55.7339394305016, 21.0897217955603 55.7361824162388, 21.0857463421848 55.7360881128131, 21.0859135871688 55.7338451349634))",62499.9997558594
62,9.92,"POLYGON((21.0857463421848 55.7360881128131, 21.0897217955603 55.7361824162388, 21.0895547543257 55.7384254008196, 21.0855790735583 55.7383310895056, 21.0857463421848 55.7360881128131))",62500.0
67,10.72,"POLYGON((21.0855790735583 55.7383310895056, 21.0895547543257 55.7384254008196, 21.089387689476 55.7406683842438, 21.0854117812847 55.7405740650405, 21.0855790735583 55.7383310895056))",62500.0
12,1.9199999925000009,"POLYGON((21.0854117812847 55.7405740650405, 21.089387689476 55.7406683842438, 21.0892206010068 55.7429113665115, 21.0852444653594 55.742817039418, 21.0854117812847 55.7405740650405))",62500.0002441406
31,4.9600000193749985,"POLYGON((21.0842400728669 55.756274861374, 21.0882175739227 55.7563692358275, 21.0880503199879 55.7586122099981, 21.0840725912519 55.7585178276481, 21.0842400728669 55.756274861374))",62499.9997558594
24,3.84,"POLYGON((21.0840725912519 55.7585178276481, 21.0880503199879 55.7586122099981, 21.0878830423969 55.7608551830118, 21.0839050859485 55.7607607927644, 21.0840725912519 55.7585178276481))",62500.0
3,0.48,"POLYGON((21.0835700042587 55.7652467195235, 21.0875484162279 55.7653411255684, 21.0873810676408 55.7675840951113, 21.0834024278629 55.7674896811662, 21.0835700042587 55.7652467195235))",62500.0
27,4.320000016874999,"POLYGON((21.0834024278629 55.7674896811662, 21.0873810676408 55.7675840951113, 21.087213695379 55.7698270634971, 21.0832348277606 55.769732641651, 21.0834024278629 55.7674896811662))",62499.9997558594
3,0.48,"POLYGON((21.0736422850557 55.8975794738782, 21.0776341928405 55.8976743475826, 21.0774654395716 55.8999172487908, 21.0734733020741 55.8998223671326, 21.0736422850557 55.8975794738782))",62500.0
3,0.48,"POLYGON((21.0734733020741 55.8998223671326, 21.0774654395716 55.8999172487908, 21.0772966623555 55.9021601488395, 21.0733042951131 55.9020652592266, 21.0734733020741 55.8998223671326))",62500.0
5,0.8,"POLYGON((21.0733042951131 55.9020652592266, 21.0772966623555 55.9021601488395, 21.0771278611877 55.9044030477288, 21.0731352641677 55.9043081501603, 21.0733042951131 55.9020652592266))",62500.0
83,13.28,"POLYGON((21.0731352641677 55.9043081501603, 21.0771278611877 55.9044030477288, 21.0769590360635 55.9066459454586, 21.0729662092335 55.9065510399336, 21.0731352641677 55.9043081501603))",62500.0
